id,language,date,newspaper_id,iiif_url,relevancy,text
"neue_freie_presse_nfp19181003_article_2805","de","1918-10-03T00:00:00Z","neue_freie_presse","https://platform.newseye.eu/iiif/neue_freie_presse_nfp19181003_page_28/1231,596,976,71/!400,200/0/default.jpg","2","Die Epidemie in Italien und der Nahrungs¬"
"neue_freie_presse_nfp19181003_article_475","de","1918-10-03T00:00:00Z","neue_freie_presse","https://platform.newseye.eu/iiif/neue_freie_presse_nfp19181003_page_8/2368,3564,932,55/!400,200/0/default.jpg","2","Die als „spanische Krankheit“ benannte Grippe hit aus"
"neue_freie_presse_nfp19181008_article_486","de","1918-10-08T00:00:00Z","neue_freie_presse","https://platform.newseye.eu/iiif/neue_freie_presse_nfp19181008_page_8/2400,489,962,68/!400,200/0/default.jpg","2","[Gegen spanische Krankheit] schützt sich die Um¬"
"neue_freie_presse_nfp19181018_article_1736","de","1918-10-18T00:00:00Z","neue_freie_presse","https://platform.newseye.eu/iiif/neue_freie_presse_nfp19181018_page_22/1588,2147,456,48/!400,200/0/default.jpg","2","Die Epidemie in Italien."
"illustrierte_kronen_zeitung_krz19181118_article_137","de","1918-11-18T00:00:00Z","illustrierte_kronen_zeitung","https://platform.newseye.eu/iiif/illustrierte_kronen_zeitung_krz19181118_page_4/1065,694,686,56/!400,200/0/default.jpg","2","Nahrungsmittelnot und die Epidemie fort."
"neue_freie_presse_nfp19181012_article_414","de","1918-10-12T00:00:00Z","neue_freie_presse","https://platform.newseye.eu/iiif/neue_freie_presse_nfp19181012_page_8/240,3286,969,54/!400,200/0/default.jpg","2","Bei dem pandemischen Charakter der Epidemie, die durch"
"illustrierte_kronen_zeitung_krz19181018_article_187","de","1918-10-18T00:00:00Z","illustrierte_kronen_zeitung","https://platform.newseye.eu/iiif/illustrierte_kronen_zeitung_krz19181018_page_4/1731,284,839,89/!400,200/0/default.jpg","2","Der Höhepunkt der Grippe=Epidemie"
"illustrierte_kronen_zeitung_krz19181027_article_170","de","1918-10-27T00:00:00Z","illustrierte_kronen_zeitung","https://platform.newseye.eu/iiif/illustrierte_kronen_zeitung_krz19181027_page_5/61,2671,808,45/!400,200/0/default.jpg","2","gewöhnlich hoch. Nachdem die Epidemie etwas zu¬"
"arbeiter_zeitung_aze19181007_article_85","de","1918-10-07T00:00:00Z","arbeiter_zeitung","https://platform.newseye.eu/iiif/arbeiter_zeitung_aze19181007_page_3/2229,3588,1009,94/!400,200/0/default.jpg","2","Grippe=Epidemie zegt vorläufig #nach
Spur einer Abnahme.4#"
"neue_freie_presse_nfp19181019_article_476","de","1918-10-19T00:00:00Z","neue_freie_presse","https://platform.newseye.eu/iiif/neue_freie_presse_nfp19181019_page_8/384,1615,651,60/!400,200/0/default.jpg","2","Zünahme der Epidemie in Spanien."
"arbeiter_zeitung_aze19181210_article_99","de","1918-12-10T00:00:00Z","arbeiter_zeitung","https://platform.newseye.eu/iiif/arbeiter_zeitung_aze19181210_page_4/2266,1020,1057,3102/!400,200/0/default.jpg","2","* Not der Aerzte — Aerztenot. Aus Marbach wird
uns geschrieben: In der Nummer vom 27. November ist in der
Arbeiter=Zeitung eine Notiz über die triste Lage der Intelligenzberufe und darunter der Aerzte enthalten. Es ist ganz natürlich, daß für die Intelligenz die Großstadt immer eine starke
Anziehungskraft bildet und jeder danach strebt, sich dort Stellung
und Erwerb zu verschaffen. Die Wahrscheinlichkeit, besseren und
leichteren Erwerb zu finden, die vorhandenen reichen Mittel
zur geistigen Anregung und Weiterbildung wie nicht minder
die Gelegenheit zu angenehmer Lebensführung u. s. w. bringen
den starken Zustcom zu den Zentren mit sich. Erfolgt dann
eine Depression, gar noch von dem nachhaltigen und verhängnisvollen Einfluß wie gegenwärtig, dann freilich ist die Not groß,
Erschüttert wird, was festsitzend ist, und die Zuströmenden sehen
sich in die unhaltbarste Lage versetzt und missen die Möglichkeit,
in ihrem Berufe auskömmlichen Erwerb zu finden. Schon im
Frieden war Wien mit Aerzten gesättigt. Wie erst jetzt! Während
dort eine Ueberfüllung an Aerzten herrscht, ist auf dem Lande eine
ständige Not an Aerzten, die sich gegenwärtig derart gesteigert
hat, daß sie schon zur Gefahr geworden ist. Wirk haben das
erst jüngst bei der Grippe=Epidemie schwer empfunden, wo sich die
wenigen vorhandenen Aerzte vor physische Unmöglichkeiten
gestellt sahen. Auf einen Landarzt entfallen 7000 PersonenDas wäre schon in Wien, wo diese Personen in einem kleineren
Raume leben und andere Verkehrsmöglichkeiten vorhanden sind,
eine""schwere Belastung für einen Arzt; um wieviel mehr auf dem
Lande! Hier nerteilen sich diese 7000 Personen auf einen Flächenraum, der größer ist als ein Wiener Bezirk, abgesehen davon,
daß die Terrainverhältnisse andere sind und oft Höhenverhältnisse von 200 Meter auf 600 bis 800 Meter zu Fuß
überwunden werden müssen, und das das nicht nur am Tage,
sondern auch bei Nacht. Vom Wetter und den oft sehr fragwürdigen Fußsteigen in den Bergen ganz zu schweigen. Daß
unter solchen Umständen die Vermehrung der Aerzte auf dem Lande
eine zwingende Notwendigkeit ist und ein Arzt nicht zwei oder
drei Sprengel auf die Dauer versehen kann, ohne vorzeitig physisch zusammenzubrechen, liegt auf der Hand.
Und doch muß er gegenwärtig diese Ueberlastung auf
sich nehmen, muß er zeitlich vom Morgen bis zu Mittag die
Hausordination versehen, die Medikamente bereiten und bis
spät in die Nacht seine Gänge zu den Kranken machen. Wird
er noch bei Nacht gerufen, dann ade Ruhe und Schlaf! Ich
schildere hier die alltäglichen Zustände im politischen Bezirk
Pöggstall, Gerichtsbezirk Persenbeug. Der Bezirk Pöggstall
hatte bisher noch niemals den erforderlichen Bedarf an
Aerzten gedeckt, so reich und dankbar auch das
Arbeitsfeld wäre. Der Krieg hat den Aerztestand noch
vermindert. Die Gemeinde Münichreith am Ostrong hat
vor mehr als zehn Jahren eine Arztensstelle mit einem
Einkommen von etwa 9000 Kronen jahrelang vergebens
ausgeschrieben. Endlich fand sich kurz vor dem Kriege ein Arzt,
der aber bald einberufen wurde, und nun stand die Gemeinde
wieder ohne einen solchen da. Das Uebel wurde um so ärger,
als auch der Arzt von Marbach einberufen wurde und wir
nun nur den Arzt von Persenbeug hatten: Das ist ein Fall
aus einem Bezirk. So aber sieht es nicht nur hier aus. In
Wien beraten jetzt die Aerzte, wie sie ihrer Not begegnen, und
das Land ist ohne Aerzte. Ein reiches Tätigkeitsfeld liegt brach
da, die Gewißheit eines guten Verdienstes ist geboten und in
Wien zerbrechen sich die Aerzte die Köpfe darüber, wo sie. Hilfe
finden. Die Aerzte sollen aufs Land gehen. Wenn der
eine oder der andere zu arm ist, um die Mittel zur
ersten Einrichtung und zur Einrichtung der Hausapotheke aufzubringn, dann soll die Republik zinsenlose Darlehen dazu
bewilligen. Man kann überzeugt sein, daß auf diese Art die
Not der Aerzte in Wien bald behoben wäre, während die
Aerztenot auf dem Lande noch lange nicht behoben wäre. —
Das mit der Not an Aerzten auf dem Lande stimmt. In Wien ist
es mit der Not an Aerzten auch erst seit Kriegsende besser und
darum geben wir der Anregung des erfahrenen Mannes auch
gern Raum."
"arbeiter_zeitung_aze19180807_article_92","de","1918-08-07T00:00:00Z","arbeiter_zeitung","https://platform.newseye.eu/iiif/arbeiter_zeitung_aze19180807_page_3/2244,4700,1028,382/!400,200/0/default.jpg","3","Haag, 6. August. (Telegraphenkompagnie.) Die spanische
Krankheit nimmt in Holland an Ausdehnung zu. In Amsterdam haben sich gestern mehrere Todesfälle ereignet. Besonders
heftig wütet die Krankheit unter dem Personal des Arsenals
600 a#e## ####illeriewerkstätté in Hembrug, wo mehr als
50o aldener erkrankt sind.
Amsterdam, 6. August. Das „Algemeen Handelsblad“
meldet, daß der Austausch von Gefangenen, der heute
fübrung des alten Pekammen#als Fortsetzung der Durchanrung des allen abrommens in berrachten ist, die durch das"
"arbeiter_zeitung_aze19180921_article_89","de","1918-09-21T00:00:00Z","arbeiter_zeitung","https://platform.newseye.eu/iiif/arbeiter_zeitung_aze19180921_page_4/100,1389,1016,238/!400,200/0/default.jpg","3","Stockholn, 19.SepitamberaInfolce epedenischerverbreitung
der spanischen Grippe. In den letzten Tagen sind 21.029
die Herbstmanöver abgesatzt. #. starben. Besonders stark
Soldaten erkrankt, von denen '8 Das Rote Kreu= errichtet
wütet die Epidemie in Norrland. Das dele #teu,
Hospitäler."
